,businessLicenseNumber,businessPerson,certStr,epsAddress,epsName,epsProductAddress,isimport,legalPerson,processid,productSn,qfManagerName,qualityPerson,rcManagerDepartName,rcManagerUser,xkDate,xkDateStr,xkName,xkType
10,91440101MA9Y8AGR8E,张龙,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；粉单元（散粉类、浴盐类）,广州市花都区富源三路8号自编6栋（厂房C）第7层,中妍（广州）化妆品有限公司,广州市花都区富源三路8号自编6栋（厂房C）第7层,Y,张龙,,粤妆20220113,广东省药品监督管理局,瞿曙光,/,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,201
11,91440101MA5D55EG9W,胡安金,牙膏单元（牙膏类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市白云区人和镇岗尾村曹东街58号1楼（空港白云）,广州好卫士日化科技有限公司,广州市白云区人和镇岗尾村曹东街58号,Y,胡安金,,粤妆20220112,广东省药品监督管理局,田嘉松,/,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,201
12,91440101MA5AXUW6X1,李丹,一般液态单元（护发清洁类、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类）,广州市白云区均禾街清湖大布路十横路3号之二,广州魅之莱医药科技有限公司,广州市白云区均禾街清湖大布路十横路3号之二一楼、二楼,Y,李丹,,粤妆20220111,广东省药品监督管理局,罗小珊,/,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,201
13,91445321MA55LUX23N,李海从,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,新兴县新城镇万洋大道6号二期007地块3幢,广东蜜颜生物科技有限公司,新兴县新城镇万洋大道6号二期007地块3幢101-301号,Y,李树志,,粤妆20220110,广东省药品监督管理局,康代平,新兴县市场监督管理局,张新德、羊秋秋,2027-03-29,2022-03-30,苏盛锋,201
14,91440507MA7FF7N6XN,王伟河,粉单元（散粉类、块状粉类）；蜡基单元（蜡基类）,汕头市龙湖区外砂街道李厝村百亩内工业区23号4楼之1,汕头市龙湖区美嘉艺玩具厂,汕头市龙湖区外砂街道李厝村百亩内工业区23号4楼,Y,王伟河,,粤妆20220109,广东省药品监督管理局,王晓敏,汕头市龙湖区市场监督管理局,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,201
15,91440101MA9XY57L9W,邱永洲,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市花都区先科一路9号自编9栋F座301、401房(空港花都),广州鸿洋医药生物科技有限公司,广州市花都区先科一路9号自编9栋F座301、401房(空港花都),Y,陈映霞,,粤妆20210324,广东省药品监督管理局,曾宪平,/,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
16,91440101MA5CUC6M16,许佑明,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市黄埔区禾丰路89号2号楼402房,广州研智化妆品有限公司,广州市黄埔区禾丰路89号2号楼402房、503房,Y,许佑明,,粤妆20200224,广东省药品监督管理局,田豪坤,黄埔区市场监管局,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
17,91440101MA5CQHW84U,龙宪华,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市花都区镜湖大道南58号B栋1楼2楼,广州协和高新科技有限公司,广州市花都区镜湖大道南58号B栋1楼2楼,Y,龙宪华,,粤妆20190247,广东省药品监督管理局,杨宴伟,花都区局新雅市场监管所,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
18,91440101MA5ANE2J7H,刘孝伟,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市花都区花山镇华侨科技工业园华辉路10号A栋,广东英腾生物科技有限公司,广州市花都区花山镇华侨科技工业园华辉路10号A栋,Y,杨 鹏,,粤妆20190112,广东省药品监督管理局,赖振东,花都区局花山市场监管所,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
19,91440101MA5BLTB180,占春生,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市黄埔区永安大道63号2栋201、601房,广州美塑生物科技有限公司,广州市黄埔区永安大道63号2栋201房,Y,郑文明,,粤妆20190060,广东省药品监督管理局,孟祥艳,黄埔区食品药品监督管理局,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
20,91440101552363563R,胡宗义,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市花都区夏花六路340号4栋101房4栋102房4栋103房4栋104房4栋105房5栋101房5栋201房,广州喜妆生物科技有限公司,广州市花都区夏花六路340号A栋一楼、二楼、B栋一楼,Y,王洪玉,,粤妆20170558,广东省药品监督管理局,曹豪森,花都区局新雅食品药品监管所,日常监管机构指定,2022-10-26,2022-03-30,苏盛锋,206
21,91440111MA59ANKF16,王双元,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市白云区人和镇秀水村木龙潭路18号,广州蔻美化妆品科技有限公司,广州市白云区人和镇秀水村木龙潭路18号,Y,王艳芝,,粤妆20170421,广东省药品监督管理局,胡红,白云区局人和食品药品监督管理所,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
22,91440183056589037F,林立峰,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；粉单元（散粉类、块状粉类、浴盐类）,广州市增城区荔新九路43号2幢之一、之二,广州丹葶日用品实业有限公司,广州市增城区荔新九路43号2幢之一、之二,Y,李小翠,,粤妆20170381,广东省药品监督管理局,林立峰,增城区食品药品监督管理局,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
23,91440300793893119M,王军,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,深圳市宝安区沙井街道南环路三洋新工业区D1栋第二、三、四层,深圳市荣科化妆品有限公司,深圳市宝安区沙井街道南环路三洋新工业区D1栋第二、三、四层,Y,王军,,粤妆20161520,广东省药品监督管理局,蔡天榜,/,/,2026-09-15,2022-03-30,苏盛锋,206
24,91440114304548913B,郭建军,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；粉单元（散粉类）,广州市花都区秀全街毕村北路12号A栋,广州南芳化妆品有限公司,广州市花都区秀全街毕村北路12号A栋,Y,郭建军,,粤妆20161113,广东省药品监督管理局,盘炜,花都区局秀全市场监管所,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
25,91440111724313838W,丁蓉,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市白云区人和镇大巷村南路2号（空港白云）,广州梦婷生物科技有限公司,广州市白云区人和镇大巷村南路2号（空港白云）,Y,丁蓉,,粤妆20160671,广东省药品监督管理局,丁金东,白云区局人和食品药品监督管理所,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
26,914401117676955302,黄河,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市白云区石井镇大朗7社工业区D座,广州市姿蒂化妆品有限公司,广州市白云区石井镇大朗7社工业区D座D1一层、D2一二层,Y,黄河,,粤妆20160484,广东省药品监督管理局,蔡双凤,白云区局白云湖食品药品监督管理所,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
27,9144011407842476XU,杨辉,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市花都区花山镇两龙南街41号5栋,广州源大生物科技有限公司,广州市花都区花山镇两龙南街41号5栋A1二层、三层 A2一层、二层,Y,杨辉,,粤妆20160469,广东省药品监督管理局,毛华丽,花都区局花山食品药品监管所,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
28,91440114550591044T,张志武,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市从化区城郊街横江路339号-19,广州天源生物科技有限公司,广州市从化区城郊街横江路339号-19A栋,Y,罗志忠,,粤妆20160360,广东省药品监督管理局,苏慧冬,从化区局城郊市场监管所,日常监管机构指定,2027-03-29,2022-03-30,苏盛锋,206
29,91440101MA9UKM0W1X,邹越,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；粉单元（散粉类、块状粉类、浴盐类）,"广州市花都区富源二路4号3栋301房,3栋401房",广东利盈医药科技有限公司,"广州市花都区富源二路4号3栋301房,3栋401房",Y,邹越,,粤妆20200145,广东省药品监督管理局,谌羽,花都区局新雅市场监管所,日常监管机构指定,2025-08-09,2022-03-29,苏盛锋,206
30,914406053519811034,朱玉为,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,佛山市南海区丹灶镇南沙社区二甲英发三街6号,佛山市澳馨化妆品有限公司,佛山市南海区丹灶镇南沙社区二甲英发三街6号,Y,朱玉为,,粤妆20170388,广东省药品监督管理局,王铭杰,佛山市食品药品监督管理局            南海区食品药品监督管理局,日常监管机构指定,2027-05-04,2022-03-29,苏盛锋,206
31,91440114587613120N,王兆伟,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市花都区新花路21号自编10栋第三层部分,广州一兆化妆品有限公司,广州市花都区新花路21号自编10栋第三层,Y,王兆伟,,粤妆20161156,广东省药品监督管理局,张海涛,花都区局狮岭食品药品监管所,日常监管机构指定,2026-08-09,2022-03-29,苏盛锋,206
32,91442000617985866Q,渡边芳知,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；粉单元（散粉类、块状粉类）；蜡基单元（蜡基类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广东省中山市海景路4号,中山市丽达化妆品有限公司,广东省中山市海景路4号,Y,渡边芳知,,粤妆20160207,广东省药品监督管理局,吉井基祐,/,日常监管机构指定,2027-03-28,2022-03-29,苏盛锋,206
33,91440607MA58CX2K5N,李源,气雾剂及有机溶剂单元（有机溶剂类）,佛山市三水区乐平镇中心科技工业区D区10号F7三楼B区（住所申报）,广东本研新材料科技有限公司,佛山市三水区乐平镇中心科技工业区D区10号F7三楼B区（住所申报）,Y,黄平,,粤妆20220108,广东省药品监督管理局,钱冲,/,日常监管机构指定,2027-03-27,2022-03-28,苏盛锋,201
34,91440101MA5ATMBX35,魏留生,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；气雾剂及有机溶剂单元（气雾剂类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,广州市花都区花山镇启源大道2号之一一楼,恒冠湄颜健康产业（广州）有限公司,广州市花都区花山镇启源大道2号之一一楼1103、1104、三楼1301,Y,魏留生,,粤妆20190077,广东省药品监督管理局,艾智光,花都区局花山市场监管所,日常监管机构指定,2024-04-08,2022-03-28,苏盛锋,206
35,92440101L564464930,彭雄伟,一般液态单元（护发清洁类、护肤水类、染烫发类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类、染烫发类）,广州市白云区江高镇小塘东路38号B房,广州市白云区江高聚龙日用化妆品厂,广州市白云区江高镇小塘东路38号B房,Y,彭雄伟,,粤妆20170390,广东省药品监督管理局,刘海清,白云区局江高食品药品监督管理所,日常监管机构指定,2027-05-04,2022-03-28,苏盛锋,206
36,91440101MA59EMFJ1T,周帅,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区嘉禾街新石路901号B栋601室,广州白云茱莉蔻日用化妆品厂（普通合伙）,广州市白云区嘉禾街新石路901号B栋601室,Y,周帅,,粤妆20170348,广东省药品监督管理局,谢洪波,白云区局嘉禾食品药品监督管理所,日常监管机构指定,2027-03-23,2022-03-28,苏盛锋,206
37,9144011108038404X3,余焱,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区人和镇南方村八龙路自编10号,广州市佳蔻化妆品有限公司,广州市白云区人和镇南方村八龙路自编10号,Y,余焱,,粤妆20170346,广东省药品监督管理局,莫小聪,白云区局人和食品药品监督管理所,日常监管机构指定,2027-03-23,2022-03-28,苏盛锋,206
38,91440111587604777P,王东彪,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）；粉单元（散粉类、块状粉类）；蜡基单元（蜡基类）,广州市白云区人和镇东华工业区东骏路3号,广州市莉姿化妆品有限公司,广州市白云区人和镇东华工业区东骏路3号,Y,王东彪,,粤妆20161728,广东省药品监督管理局,薛爱梅,白云区局人和食品药品监督管理所,日常监管机构指定,2026-10-08,2022-03-28,苏盛锋,206
39,914420007250888554,林永文,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；粉单元（散粉类、块状粉类）；蜡基单元（蜡基类）,中山市神湾镇宥华道22号A幢一层之一、二层之一、三层之一,中山市薇娜化妆品有限公司,中山市神湾镇宥华道22号A幢一层之一、二层之一、三层之一,Y,柯山本,,粤妆20161608,广东省药品监督管理局,何国健,/,日常监管机构指定,2026-09-27,2022-03-28,苏盛锋,206
40,91440607579693554T,黄庆,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,佛山市三水区乐平镇西乐大道东13号F1综合楼B座二楼201、202、203号、B座三楼302号,佛山拜澳生物科技有限公司,佛山市三水区乐平镇西乐大道东13号F1综合楼B座二楼201、202、203号、B座三楼302号,Y,黄庆,,粤妆20160229,广东省药品监督管理局,陈宁,/,日常监管机构指定,2027-03-27,2022-03-28,苏盛锋,206
41,91320922MA23YL8B7Q,,牙膏单元；一般液态单元 # （具备儿童护肤类、眼部护肤类化妆品生产条件）；膏霜乳液单元 # （具备儿童护肤类、眼部护肤类化妆品生产条件）；蜡基单元 # （具备儿童护肤类、眼部护肤类化妆品生产条件）,盐城市滨海县八滩镇金八滩大道1号B幢,昌正健康护理（盐城）有限公司,盐城市滨海县八滩镇金八滩大道1号B幢之1层、2层、3层，D幢之3层,N,张毅·,20220325114221206xh8b7,苏妆20220006,江苏省药品监督管理局,张俊,江苏省药品监督管理局（盐城检查分局）,江苏省药品监督管理局（盐城检查分局）负责日常监管的人员,2027-01-26,2022-03-28,赵亮,206
42,913501003998424447,高飞,一般液态单元（护肤水类）,福建省福州市闽侯县荆溪镇荆溪村2＃厂房,福州艾维德生物医药有限公司,福建省福州市闽侯县荆溪镇荆溪村2＃厂房,N,高飞,202203241027582024d9pp,闽妆20170026,福建省药品监督管理局,陈威平,福建省药品监督管理局福州药品稽查办公室,***,2027-05-15,2022-03-28,郑纯,202
43,913501215575650339,薛惠娟,一般液态单元（啫喱类、护发清洁类、护肤水类）；膏霜乳液单元（护发类、护肤清洁类）；蜡基单元（蜡基类）,福州市闽侯经济技术开发区二期南区1号5#第四层,猫头鹰（福州）日用品有限公司,福建省福州市闽侯经济技术开发区二期南区1号5#第四层,N,李挺枝,20220321103755202gw5ed,闽妆20170024,福建省药品监督管理局,李挺枝,福建省药品监督管理局福州药品稽查办公室,***,2027-05-04,2022-03-28,郑纯,202
44,91120111300744036B,,一般液态单元 # 、膏霜乳液单元 # 、蜡基单元 # 、粉单元、气雾剂及有机溶剂单元（标注#号的生产许可项目具备儿童护肤类、眼部护肤类化妆品生产条件）,天津市西青区李七庄街天祥工业区祥遵路16号,天津尚美化妆品有限公司,天津市西青区李七庄街天祥工业区祥遵路16号,N,郭毅群,20220301124114206ftzpc,津妆20160010,天津市药品监督管理局,张小琴,天津市药品监督管理局,林金鹏、王强,2026-09-05,2022-03-28,张胜昔,206
45,91441324MA7G8EGX80,王野,一般液态单元（护发清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护肤水类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、啫喱类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）；膏霜乳液单元（护肤清洁类#(具备儿童护肤类、眼部护肤类化妆品生产条件)、护发类#(具备儿童护肤类、眼部护肤类化妆品生产条件)）,龙门县惠州产业转移工业园工业五路龙门红工业区58栋厂房一至三楼,广东尊华生物医药有限公司,龙门县惠州产业转移工业园工业五路龙门红工业区58栋厂房一至二楼,Y,王野,,粤妆20220107,广东省药品监督管理局,亢民政,///,///,2027-03-24,2022-03-25,苏盛锋,201
46,91440101MA59R0JA4A,包保军,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,广州市白云区龙归街园夏牌坊大街75号二楼,广州尚品生物科技有限公司,广州市白云区龙归街园夏牌坊大街75号,Y,何波,,粤妆20170553,广东省药品监督管理局,王志红,白云区局太和食品药品监督管理所,日常监管机构指定,2022-10-19,2022-03-25,苏盛锋,206
47,914420000719365355,李亚娣,一般液态单元（护发清洁类、护肤水类、啫喱类）；膏霜乳液单元（护肤清洁类、护发类）,中山市横栏镇永谊六路1号第一幢四楼、五楼、六楼,中山市迪尔美日用品有限公司,中山市横栏镇永谊六路1号第一幢四楼、五楼、六楼,Y,李亚娣,,粤妆20161803,广东省药品监督管理局,傅美婵,/,日常监管机构指定,2026-10-19,2022-03-25,苏盛锋,206
48,91411081MA9FL41RXU,马老光,膏霜乳液单元（护肤清洁类）,禹州市梁北镇三峰山,河南康世源医药科技有限公司,禹州市梁北镇三峰山,N,马老光,20220324155251201kh2p1,豫妆20220003,河南省药品监督管理局,朱会亚,河南省药品监督管理局第七监管分局,/,2027-03-24,2022-03-25,庆凌,201
49,914116810587783761,胡春震,膏霜乳液单元（护肤清洁类）,项城市产业集聚区纬二路36号,乐普药业科技有限公司,项城市产业集聚区纬二路36号,N,张霞,20220325081629201jeoc1,豫妆20220002,河南省药品监督管理局,胡春震,河南省药品监督管理局第四监管分局,/,2027-03-24,2022-03-25,庆凌,201
